iter	Logloss
0	0.6380930793
1	0.5923567941
2	0.5563656444
3	0.5254543376
4	0.4972918572
5	0.4736537323
6	0.4531094432
7	0.4372871042
8	0.4231496928
9	0.4096508178
10	0.3977706851
11	0.3891778485
12	0.380861903
13	0.3731119913
14	0.3667552791
15	0.359529856
16	0.3541125122
17	0.3482788593
18	0.3433189867
19	0.3379210799
20	0.3342958031
21	0.3304125246
22	0.3266198586
23	0.3228354425
24	0.3194527352
25	0.3168240993
26	0.3141580991
27	0.3115042529
28	0.3090772988
29	0.3065170532
30	0.3041076326
31	0.3017008171
32	0.2991821181
33	0.2968902756
34	0.2953391142
35	0.2930107061
36	0.291102856
37	0.2894560971
38	0.2876841371
39	0.2863085756
40	0.2844566045
41	0.2828393247
42	0.2812361089
43	0.2799913056
44	0.2791880453
45	0.2780619958
46	0.2763176445
47	0.2749199477
48	0.2732052721
49	0.2722860924
50	0.2709329987
51	0.2688569991
52	0.2679737091
53	0.267076229
54	0.2658023738
55	0.2649109408
56	0.2638978176
57	0.2630783427
58	0.26199536
59	0.2608646478
60	0.2601304984
61	0.2593607127
62	0.2585138804
63	0.2572081259
64	0.2564949546
65	0.2554800752
66	0.2540989855
67	0.2530280176
68	0.2521606699
69	0.2512350337
70	0.2500023136
71	0.2491710583
72	0.2482515545
73	0.2472644114
74	0.2464761924
75	0.2459603562
76	0.2453088104
77	0.2443447035
78	0.2436426099
79	0.2429170465
80	0.2420364605
81	0.2414838977
82	0.24067661
83	0.2401504254
84	0.2395030136
85	0.2389046223
86	0.2378926529
87	0.237467841
88	0.2365724338
89	0.236051054
90	0.2354062469
91	0.2348532543
92	0.2344139991
93	0.2336824662
94	0.2327727499
95	0.2318515082
96	0.2312386914
97	0.2306903237
98	0.2300557565
99	0.2292634717
100	0.2284633411
101	0.2279408444
102	0.2273500945
103	0.2269071446
104	0.2264485143
105	0.2260323883
106	0.2255197319
107	0.2249681035
108	0.2243499869
109	0.2238475736
110	0.222959021
111	0.2223918552
112	0.2218944071
113	0.2214268006
114	0.2208082463
115	0.2204208427
116	0.2199082814
117	0.2194828198
118	0.2189048505
119	0.218550438
120	0.2181167253
121	0.2176692388
122	0.2169847514
123	0.2163406092
124	0.2159655959
125	0.2154614693
126	0.2148568109
127	0.2144249452
128	0.2138084266
129	0.2134038993
130	0.212978526
131	0.2123747825
132	0.2117340776
133	0.2111712593
134	0.2107591122
135	0.2105126003
136	0.2101785832
137	0.2096812455
138	0.2092115605
139	0.2087879489
140	0.2084509443
141	0.2082145867
142	0.2077554104
143	0.2073239028
144	0.2068523898
145	0.206485268
146	0.2061948246
147	0.2059344251
148	0.205539627
149	0.2050654189
150	0.2048763667
151	0.204479556
152	0.2040881245
153	0.2038361351
154	0.2035790408
155	0.2031313815
156	0.2026625341
157	0.2021495854
158	0.2015907016
159	0.2013170569
160	0.2008648836
161	0.2005088105
162	0.2001398185
163	0.1998367055
164	0.1995521454
165	0.1992640385
166	0.1990090778
167	0.1986180243
168	0.1983285073
169	0.1980181969
170	0.197505436
171	0.1972272248
172	0.1970024748
173	0.1966976214
174	0.1962062171
175	0.1958582469
176	0.1955896051
177	0.1953068357
178	0.1950633693
179	0.1948684029
180	0.1946021913
181	0.1943370207
182	0.1939716563
183	0.1936614639
184	0.1934339742
185	0.1931089938
186	0.1927466737
187	0.1924741464
188	0.1921983502
189	0.1918504222
190	0.1916419146
191	0.191216137
192	0.19087779
193	0.1905503524
194	0.1902599122
195	0.1899575662
196	0.1897890909
197	0.1894570705
198	0.1891644536
199	0.1889210471
200	0.1885964266
201	0.1883068644
202	0.1880467456
203	0.1877984196
204	0.1875402011
205	0.1873300555
206	0.1870406045
207	0.1867375697
208	0.1865985861
209	0.186326738
210	0.1861185439
211	0.1859423522
212	0.1857759772
213	0.1855869872
214	0.1853178957
215	0.1850964293
216	0.1848527365
217	0.1847255716
218	0.1844657679
219	0.1842989815
220	0.1840999723
221	0.1839224424
222	0.1837550404
223	0.1834957965
224	0.1833153628
225	0.1830594901
226	0.1827278201
227	0.1824466896
228	0.1822379843
229	0.1819155882
230	0.1816700491
231	0.181482003
232	0.1812601543
233	0.1809711796
234	0.1807545294
235	0.1805208103
236	0.1802688841
237	0.1800676205
238	0.1798088358
239	0.1795592734
240	0.1794208664
241	0.1792386066
242	0.1790983825
243	0.1789285377
244	0.1787511886
245	0.1785324624
246	0.1783220506
247	0.1781292975
248	0.1780130433
249	0.1778408488
250	0.1776808258
251	0.1774820105
252	0.1771489192
253	0.1768542814
254	0.1765196649
255	0.1763250475
256	0.1761584614
257	0.175994484
258	0.1757968861
259	0.1755672558
260	0.1753495744
261	0.1751628798
262	0.1749413851
263	0.1746821508
264	0.1745039329
265	0.1742806972
266	0.1741163368
267	0.1739212085
268	0.1736593152
269	0.1734409725
270	0.1732496523
271	0.1730102663
272	0.1728546455
273	0.1726999406
274	0.1725719203
275	0.1723936815
276	0.1722553539
277	0.1720221867
278	0.1718324711
279	0.1717064073
280	0.171510919
281	0.1712822932
282	0.1710730592
283	0.1709261746
284	0.1707697924
285	0.1705640353
286	0.1704001265
287	0.1702780157
288	0.1701721841
289	0.1699686114
290	0.1698302124
291	0.1696984633
292	0.1695400229
293	0.1694304931
294	0.1692750681
295	0.1691135943
296	0.1689872364
297	0.1688594709
298	0.1687393844
299	0.1685878275
300	0.168475627
301	0.1683083226
302	0.1681636173
303	0.167988969
304	0.1678089503
305	0.1677141148
306	0.1675917054
307	0.1674722595
308	0.1673472409
309	0.1671442156
310	0.1670423087
311	0.1668909233
312	0.166724669
313	0.1665708072
314	0.166384932
315	0.1662863574
316	0.1661388264
317	0.1659466095
318	0.1658438983
319	0.1656448266
320	0.1655045781
321	0.1653492111
322	0.1651864762
323	0.1650185594
324	0.1648611772
325	0.1647178476
326	0.1646159681
